"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","madc",,,,"User:","root"
"Cmdline:","dstat -drmny --output /home/otp/dstat/dstat_metrics.csv",,,,"Date:","01 Aug 2019 19:10:36 BST"

"dsk/total",,"io/total",,"memory usage",,,,"net/total",,"system",
0.0,0.0,0.0,0.0,3277238272.0,11341824.0,15982891008.0,1.81967978496e+11,60.0,0.0,71873.0,142.0
0.0,53248.0,0.0,5.0,3277238272.0,11341824.0,15982891008.0,1.81967978496e+11,0.0,0.0,72160.0,364.0
0.0,0.0,0.0,0.0,3277238272.0,11341824.0,15982891008.0,1.81967978496e+11,0.0,0.0,72023.0,422.0
0.0,0.0,0.0,0.0,3276206080.0,11341824.0,15982891008.0,1.81969010688e+11,180.0,96.0,72009.0,353.0
0.0,0.0,0.0,0.0,3276206080.0,11341824.0,15982891008.0,1.81969010688e+11,0.0,0.0,72028.0,138.0
0.0,0.0,0.0,0.0,3275681792.0,11341824.0,15983214592.0,1.81969211392e+11,0.0,0.0,72291.0,750.0
0.0,53248.0,0.0,6.0,3276759040.0,11341824.0,15983271936.0,1.819680768e+11,0.0,0.0,72487.0,2002.0
0.0,0.0,0.0,0.0,3277012992.0,11341824.0,15983271936.0,1.81967822848e+11,11150.0,583.0,72226.0,2192.0
0.0,4096.0,0.0,1.0,3276713984.0,11341824.0,15983374336.0,1.81968019456e+11,60.0,42.0,72124.0,1476.0
0.0,0.0,0.0,0.0,3276713984.0,11341824.0,15983374336.0,1.81968019456e+11,0.0,0.0,72123.0,156.0
0.0,0.0,0.0,0.0,3275456512.0,11341824.0,15983456256.0,1.81969195008e+11,86.0,0.0,72283.0,635.0
0.0,0.0,0.0,0.0,3275456512.0,11341824.0,15983456256.0,1.81969195008e+11,0.0,0.0,72096.0,178.0
0.0,16384.0,0.0,1.0,3275456512.0,11341824.0,15983456256.0,1.81969195008e+11,0.0,0.0,72168.0,141.0
0.0,12288.0,0.0,2.0,3275239424.0,11341824.0,15983579136.0,1.81969289216e+11,0.0,0.0,80486.0,4190.0
0.0,0.0,0.0,0.0,3275173888.0,11341824.0,15983644672.0,1.81969289216e+11,0.0,0.0,72156.0,358.0
0.0,0.0,0.0,0.0,3275173888.0,11341824.0,15983644672.0,1.81969289216e+11,0.0,0.0,72152.0,136.0
0.0,73728.0,0.0,11.0,3275284480.0,11341824.0,15983685632.0,1.81969137664e+11,0.0,0.0,72516.0,1849.0
0.0,0.0,0.0,0.0,3275202560.0,11341824.0,15983767552.0,1.81969137664e+11,0.0,0.0,72041.0,1928.0
0.0,40960.0,0.0,4.0,3275218944.0,11341824.0,15983767552.0,1.8196912128e+11,0.0,0.0,72240.0,1657.0
0.0,0.0,0.0,0.0,3275218944.0,11341824.0,15983767552.0,1.8196912128e+11,0.0,0.0,72216.0,162.0
0.0,0.0,0.0,0.0,3275218944.0,11341824.0,15983767552.0,1.8196912128e+11,0.0,0.0,72349.0,581.0
0.0,0.0,0.0,0.0,3275218944.0,11341824.0,15983767552.0,1.8196912128e+11,0.0,0.0,72256.0,430.0
